field,record_index,narrative_complexity,narrative_coherence,framing_conflict,mutual_information,entanglement_strength,sentiment_entropy,sentiment_coherence,average_sentiment
新聞標題,0,0,0.5640500216259794,0.502,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,1,0,0.5640500216259794,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.07142857142857142
新聞標題,2,0,0.7434289137198955,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,3,0,0.7813896309955234,0.516,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,4,0,0.5640500216259794,0.506,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,5,0,0.7434289137198955,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,6,0,0.7434289137198956,0.514,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,7,0,0.7434289137198957,0.5,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,8,0,0.5640500216259794,0.492,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,9,0,0.7434289137198956,0.485,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,10,0,0.7824162252007762,0.491,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,11,0,0.7434289137198957,0.497,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,12,0,0.5640500216259794,0.478,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,13,0,0.5640500216259794,0.507,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,14,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,15,0,0.5640500216259794,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,16,0,0.5640500216259794,0.487,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,17,0,0.7434289137198955,0.501,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,18,0,0.5640500216259794,0.499,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
新聞標題,19,0,0.5640500216259794,0.512,1.8156957082998173e-15,5.53440079829327e-16,0,1.0,0.0
