field,original_text,word_count,unique_words,categorical_diversity,quantum_circuit_qubits,semantic_interference,emotional_intensity,analysis_version,collapse_mode,collapse_shots,noise_level,von_neumann_entropy_pre,superposition_strength_pre,quantum_coherence_pre,frame_competition_pre,multiple_reality_strength_pre,von_neumann_entropy_post,superposition_strength_post,quantum_coherence_post,frame_competition_post,multiple_reality_strength_post,frame_competition_delta,collapse_unique_outcomes,record_id,data_source
新聞標題,中正高中機器人競賽獲獎 曼巴學院掛國旗,9,9,6,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9977661889896177,3.7492265701293945,0.9373066425323486,0.9994415472474043,1.6995789375012387,0.0005584527468248668,16,0,Journalist_Written
新聞內容,（中央社記者林宏翰洛杉磯2日專電）已故籃球明星布萊恩（Kobe Bryant）創立的曼巴運動學院上週末舉辦機器人競賽，來自台灣的中正高中17名學生團隊，1日在洛杉磯拿下新秀全明星獎、取得赴底特律參加決...,637,360,33,4,0.016020686764734383,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.704806206028266,3.997014177507963,3.74898624420166,0.937246561050415,0.9992535443769909,1.7042514125854826,0.0007464556172382952,16,0,Journalist_Written
新聞標題,國軍戰車隱匿廢五金堆蓄勢待發 創意源自變形金剛,12,12,4,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.997998703597857,3.749305248260498,0.9373263120651245,0.9994996758994642,1.6996220344840922,0.0005003240947649701,16,1,Journalist_Written
新聞內容,（中央社記者游凱翔桃園28日電）陸軍584旅今天在桃園民間資源回收廠實施戰力防護演練，官兵發揮想像與創意，將雲豹甲車偽裝成工程起重車，勇虎戰車隱匿廢五金堆裡，有如電影「變形金剛」博派金剛隱身資材場，待...,519,282,29,4,0.015617999350470561,0.0019267822736030828,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7048780780313473,3.9984911408428805,3.7494750022888184,0.9373687505722046,0.9996227852107201,1.7045926359901729,0.00037721478350905,16,1,Journalist_Written
新聞標題,募集人心爭取認同 國民黨設電商中心賣商品,8,8,4,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9978171964546556,3.749241828918457,0.9373104572296143,0.999454299113664,1.6995875913901157,0.0005457008805651586,16,2,Journalist_Written
新聞內容,（中央社記者劉冠廷台北17日電）國民黨電商中心今天成立，黨主席江啟臣表示，這不是為了營利，是募集人心的一個過程，爭取更多的認同；此外，他也透露，國民黨的募款餐會已在規劃中，規劃完成後，會再向外界報告。...,424,218,27,4,0.028987141353008523,0.0023584905660377358,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.708931991461352,3.997738783559395,3.7492213249206543,0.9373053312301636,0.9994346958898487,1.7085074606087378,0.0005653041043804929,16,2,Journalist_Written
新聞標題,校友捐資 屏科大讀書房可坐臥躺趴,11,11,3,3,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,2.9999999999884586,3.5,0.875,0.9999999999961527,1.5999999999992307,2.9979191948358306,3.4985694885253906,0.8746423721313477,0.9993063982786102,1.5992890750658784,0.0006936017175425135,8,3,Journalist_Written
新聞內容,"（中央社記者郭芷瑄屏東縣28日電）國立屏東科技大學由校友段津華捐資改建的讀書房今天揭牌，讀書房顛覆以往圖書館只能坐著看書，在設計上不但可以坐、臥、躺、趴，還有小包廂，希望讓學生能輕鬆閱讀。

段津華經...",348,218,27,4,0.01186962280159474,0.005747126436781609,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7041355994830023,3.9984385398428133,3.749460220336914,0.9373650550842285,0.9996096349607033,1.7038416146110629,0.0003903650335258524,16,3,Journalist_Written
新聞標題,吳朋奉從文青詩人到三金浪流連 一生飄撇始終豁達,13,13,7,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9975599222653893,3.749149799346924,0.937287449836731,0.9993899805663473,1.6995379158520392,0.0006100194278818583,16,4,Journalist_Written
新聞內容,"（中央社記者趙靜瑜台北26日電）角色上身，演什麼像什麼的三金影帝吳朋奉從小父母離異，曾以寫詩度日，寫的還是台語詩；他於2012年7月在台北電影節上受邀頒獎還脫稿演出「反核宣言」，藝術家性格十足。

法...",903,476,39,4,0.019579822353017817,0.0011074197120708748,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7059846886759582,3.999040320277133,3.749668598175049,0.9374171495437622,0.9997600800692833,1.7058041439609886,0.000239919924945875,16,4,Journalist_Written
新聞標題,史上最近距離 太陽特寫照大公開,8,8,6,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9976733039281056,3.749204158782959,0.9373010396957397,0.9994183259820264,1.699565328709589,0.0005816740122027708,16,5,Journalist_Written
新聞內容,"（中央社巴黎16日綜合外電報導）科學家今天表示，他們拍下有史以來最接近太陽的照片，這是研究對地球可能有深遠影響的太陽風和閃焰的泛歐任務一部分。

歐洲太空總署（ESA）的太陽觀測衛星「太陽軌道號」（S...",314,180,30,4,0.01391090666037588,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7041732719969584,3.998118581020251,3.749338150024414,0.9373345375061035,0.9995296452550627,1.703814461058891,0.0004703547391664564,16,5,Journalist_Written
新聞標題,外交部：台灣是台灣 非中華人民共和國一部分,11,10,9,4,0.00818181818181818,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7024545454533913,3.9986207894357557,3.7495174407958984,0.9373793601989746,0.9996551973589388,1.7021925612446926,0.00034480263529035327,16,6,Journalist_Written
新聞內容,"（中央社記者顧荃台北19日電）中國與緬甸18日簽署聯合聲明，外交部發言人歐江安表示，外交部表達嚴正抗議，並對此貶損中華民國台灣國家主權的不實表述予以譴責。

外交部嚴正重申，台灣是台灣，不是中國的一部...",384,190,24,4,0.023600819482917826,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.707080245843721,3.9962970246913585,3.748713493347168,0.937178373336792,0.9990742561728397,1.7063804944183105,0.0009257438213894353,16,6,Journalist_Written
新聞標題,農遊券藝FUN券動滋券客庄券 怎麼抽籤哪裡可用一次看,14,14,6,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.998062465348843,3.749340057373047,0.9373350143432617,0.9995156163372108,1.6996391462166611,0.0004843836570184168,16,7,Journalist_Written
新聞內容,"（中央社網站更新）振興三倍券15日上路，農委會的農遊券、文化部的藝FUN券、教育部體育署的動滋券與客委會的浪漫客庄旅遊券也接連登場，民眾從事各領域的休閒活動，都有好康優惠可拿。

農遊券
發放數量：限...",1127,438,33,4,0.015868617334695946,0.0008873114463176575,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7048493163438863,3.997558675650163,3.7491612434387207,0.9372903108596802,0.9993896689125407,1.704391747503037,0.0006103310816885088,16,7,Journalist_Written
新聞標題,記錄反送中、採訪流亡來台港人 中央社沈朋達獲卓越新聞獎,14,14,8,4,0.0,0.07142857142857142,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7071428571417029,3.9973258743605817,3.7490878105163574,0.9372719526290894,0.9993314685901455,1.7066442750674293,0.0006685314040836277,16,8,Journalist_Written
新聞內容,"（中央社記者葉冠吟台北24日電）卓越新聞獎今天舉行頒獎典禮，本屆卓越新聞獎新聞志業特殊貢獻獎，頒給「上報」董事長王健壯；中央社記者沈朋達則以「香港反送中抗爭」專題，獲平面及網路文字類即時新聞獎。

專...",913,434,35,4,0.01743463363647087,0.004381161007667032,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7056685061905537,3.997683810859302,3.749204158782959,0.9373010396957397,0.9994209527148255,1.7052343602478568,0.0005790472794037216,16,8,Journalist_Written
新聞標題,17年前壓箱寶 台灣做出第一件P3級防護衣,11,11,7,4,0.0,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.6999999999988458,3.9969852962509256,3.7489500045776367,0.9372375011444092,0.9992463240627314,1.699429266643601,0.000753675931497777,16,9,Journalist_Written
