欄位,詞彙,頻次,欄位內排名
新聞標題,爭議,31,1
新聞標題,引發,21,2
新聞標題,惹議,15,3
新聞標題,再,12,4
新聞標題,遭,11,5
新聞標題,台灣,11,5
新聞標題,與,10,7
新聞標題,被,9,8
新聞標題,萬,9,8
新聞標題,關稅,8,10
新聞標題,社會,7,11
新聞標題,爆,7,11
新聞標題,延燒,7,11
新聞標題,預算,7,11
新聞標題,道歉,6,15
新聞標題,川普,6,15
新聞標題,關注,6,15
新聞標題,賴清德,6,15
新聞標題,嗆,6,15
新聞標題,日本,5,20
新聞標題,熱議,5,20
新聞標題,台,5,20
新聞標題,對,5,20
新聞標題,年,5,20
新聞標題,調查,5,20
新聞標題,挑戰,5,20
新聞標題,警方,5,20
新聞標題,大,5,20
新聞標題,罷免,5,20
新聞標題,檢方,5,20
新聞標題,中,5,20
新聞標題,政府,5,20
新聞標題,回應,5,20
新聞標題,政治,5,20
新聞標題,黑熊,5,20
新聞標題,黃,5,20
新聞標題,司法,5,20
新聞標題,危機,5,20
新聞標題,陳,5,20
新聞標題,不,5,20
新聞標題,引爆,5,20
新聞標題,起訴,4,42
新聞標題,掀,4,42
新聞標題,億,4,42
新聞標題,醫療,4,42
新聞標題,受,4,42
新聞標題,偵辦,4,42
新聞標題,引爭議,4,42
新聞標題,升溫,4,42
新聞標題,真相,4,42
影片對話,的,4078,1
影片對話,是,1814,2
影片對話,名嘴,1056,3
影片對話,了,909,4
影片對話,在,880,5
影片對話,說,768,6
影片對話,有,724,7
影片對話,你,675,8
影片對話,但,653,9
影片對話,不是,647,10
影片對話,也,579,11
影片對話,問題,578,12
影片對話,對,564,13
影片對話,我們,538,14
影片對話,要,510,15
影片對話,這,500,16
影片對話,不,493,17
影片對話,讓,481,18
影片對話,就,479,19
影片對話,我,462,20
影片對話,都,448,21
影片對話,人,430,22
影片對話,來,406,23
影片對話,真的,389,24
影片對話,台灣,389,24
影片對話,他,350,26
影片對話,嗎,346,27
影片對話,被,338,28
影片對話,更,330,29
影片對話,就是,302,30
影片對話,這次,297,31
影片對話,如果,288,32
影片對話,這種,287,33
影片對話,政府,280,34
影片對話,會,268,35
影片對話,得,267,36
影片對話,這樣,265,37
影片對話,可能,251,38
影片對話,看,250,39
影片對話,沒,248,40
影片對話,什麼,242,41
影片對話,到,241,42
影片對話,只是,233,43
影片對話,後,233,43
影片對話,為,230,45
影片對話,怎麼,221,46
影片對話,不能,217,47
影片對話,那,215,48
影片對話,一個,214,49
影片對話,社會,213,50
影片描述,的,864,1
影片描述,與,427,2
影片描述,台灣,284,3
影片描述,在,277,4
影片描述,對,269,5
影片描述,台湾,218,6
影片描述,於,200,7
影片描述,表示,168,8
影片描述,引發,165,9
影片描述,社會,149,10
影片描述,日本,147,11
影片描述,為,143,12
影片描述,事件,138,13
影片描述,政府,122,14
影片描述,也,116,15
影片描述,但,115,16
影片描述,月,114,17
影片描述,政策,111,18
影片描述,被,111,18
影片描述,不,109,20
影片描述,是,108,21
影片描述,政治,106,22
影片描述,後,104,23
影片描述,語,102,24
影片描述,日,101,25
影片描述,近日,98,26
影片描述,已,98,26
影片描述,強調,91,28
影片描述,爭議,90,29
影片描述,美國,90,29
影片描述,年,86,31
影片描述,問題,84,32
影片描述,人,84,32
影片描述,調查,84,32
影片描述,讓,83,35
影片描述,安全,82,36
影片描述,更,80,37
影片描述,可能,79,38
影片描述,発,79,38
影片描述,中,78,40
影片描述,司法,77,41
影片描述,他,76,42
影片描述,有,75,43
影片描述,影響,72,44
影片描述,長,71,45
影片描述,指出,71,45
影片描述,対,71,45
影片描述,討論,70,48
影片描述,是否,67,49
影片描述,質疑,67,49
