record_id,field,original_text,von_neumann_entropy,quantum_coherence,quantum_entanglement,quantum_interference,superposition_strength,narrative_divergence,semantic_density,frame_stability,narrative_tension,frame_competition,meaning_conflict,semantic_ambiguity,circuit_depth,gate_count,field_type,word_count,qubit_count
0,新聞標題,"日本能源轉向 增核能降火力 台灣應借鏡？Japan Shifts Energy Policy: More Nuclear, Less Fossil Fuel",0.0,0.9814743330975081,0.0,0.7994104504107054,0.9339085014168435,6.653993034080722,1.0,0.5521277530486013,0.0015421787622502828,0.9339085014168435,0.3153156707557724,0.5,5,33,新聞標題,11,8
1,新聞標題,麥當勞性侵案後改革 董事長發聲承諾改善McDonald's Pledges Reform After Assault Scandal,0.0,0.9729088299153191,0.0,0.77554931640625,0.8890382326322703,6.318876918777618,1.0,0.5262377351521652,0.0018166518974070069,0.8890382326322703,0.2635997181037345,0.5,4,32,新聞標題,11,8
2,新聞標題,"回收3.87元遭貪污起訴？清潔隊員案掀社會熱議""Garbage Collectors Indicted for $3.87 Bribery? Public Outrage Ensues""",0.0,0.9779425239275168,0.0,0.7934765625,0.90851984611866,6.514877982895049,0.9230769230769231,0.5455515018178627,0.0016525818436592633,0.90851984611866,0.2929602250259111,0.46153846153846156,4,32,新聞標題,13,8
3,新聞標題,Google示警！AI詐騙電話橫行，Gmail用戶警惕Google Alert! AI Scam Calls Targeting Gmail Users,0.0,0.9814743330975081,0.0,0.7989123774817726,0.9339085014168435,6.653993034080724,1.0,0.5515720542626414,0.0015421787622502832,0.9339085014168435,0.31531567075577227,0.5,5,33,新聞標題,8,8
4,新聞標題,台男走私22公斤古柯鹼入日 創個人紀錄Taiwanese Man Smuggles 22kg Cocaine to Japan,0.0,0.9757152981366596,0.0,0.78625,0.8983884279350455,6.430644275053749,0.9230769230769231,0.5376689497773267,0.0017219456749318488,0.8983884279350455,0.2812593342199361,0.46153846153846156,4,32,新聞標題,13,8
5,新聞標題,"AI 自我複製驚現！研究揭示潛在風險""AI Self-Replication Found! Study Reveals Risks""",0.0,0.9697780314254123,0.0,0.7684375,0.8788276417030585,6.2071095625014845,1.0,0.5187905861269961,0.0019072518841014726,0.8788276417030585,0.24762861999661223,0.5,4,32,新聞標題,12,8
6,新聞標題,"曹興誠遭爆婚外情 回應：AI照可造假Cao Xingcheng’s Affair Exposed, Calls AI Photos Fake",0.0,0.9799654838908017,0.0,0.8034375,0.9176410876823748,6.59911169073635,1.0,0.5566463037257949,0.0015810153243117633,0.9176410876823748,0.3067756799448871,0.5,4,32,新聞標題,8,8
7,新聞標題,"Joeman與孫生合作惹議 急下架影片道歉Joeman Faces Backlash, Deletes Video & Apologizes",0.0,0.9782310345862539,0.0,0.7965722656249999,0.9069507288641638,6.542411631329885,1.0,0.5489703619771755,0.0016229471109942913,0.9069507288641638,0.3008883393481372,0.5,4,32,新聞標題,8,8
8,新聞標題,《紐時》：川普言論對台灣敲響警鐘NYT: Trump’s Remarks a Wake-Up Call for Taiwan,0.0,0.9725497824742241,0.0,0.77054931640625,0.890909413584477,6.291343270342784,1.0,0.5209898919712133,0.0018437725573272265,0.890909413584477,0.25720067026176785,0.5,4,32,新聞標題,11,8
9,新聞標題,"勞保2024年收支逆差665億 2031年恐破產 Labor Insurance Deficit Hits NT$66.5B, Bankruptcy by 2031?",0.0,0.9859314775926856,0.0,0.840048313323332,0.9517544263656326,6.908792000799173,0.9166666666666666,0.6000603962137933,0.0012956857689241865,0.9517544263656326,0.3665847960158004,0.4583333333333333,5,33,新聞標題,12,8
10,新聞標題,聯發科推出 Breeze 2：繁體中文 AI 重大突破！MediaTek Unveils Breeze 2: A Breakthrough in Traditional Chinese AI!,0.0,0.981264304138493,0.0,0.80943603515625,0.9272410632431809,6.651409342398267,0.8888888888888888,0.5634636729391813,0.0015373581634942055,0.9272410632431809,0.31541515048119495,0.4444444444444444,4,32,新聞標題,9,8
11,新聞標題,"台灣旅客控日本機場安檢性騷 JAL調查Taiwan Traveler Accuses Japan Airport Security, JAL Probes",0.0,0.9804861571761668,0.0,0.8103125,0.9147915273530492,6.65417898760602,1.0,0.5644687152453913,0.0015194616651011275,0.9147915273530492,0.32335203695741677,0.5,4,32,新聞標題,8,8
12,新聞標題,川普推對等關稅 台擴大投資應對挑戰Trump’s Tariff Plan: Taiwan Expands Investment,0.0,0.9849165077347628,0.0,0.8250422386636382,0.9455122191718635,6.849994098198156,1.0,0.5817204746388347,0.0013565577595513543,0.9455122191718635,0.3545767512870722,0.5,5,33,新聞標題,8,8
13,新聞標題,"千億補助遭刪 經長：錢在抽屜卻不能用$100B Subsidy Cut, Minister: Funds Stuck in Drawer",0.0,0.9757152981366596,0.0,0.78625,0.8983884279350454,6.430644275053752,1.0,0.5376689497773267,0.0017219456749318497,0.8983884279350454,0.2812593342199361,0.5,4,32,新聞標題,12,8
14,新聞標題,"護理師離職潮擴大 台灣醫療瀕臨崩潰""Nurse Exodus Worsens, Taiwan’s Healthcare in Crisis""",0.0,0.9825076637995477,0.0,0.8262499999999999,0.9219716208176733,6.765946343882152,1.0,0.5831666999866734,0.001411285979659249,0.9219716208176733,0.35214310182744657,0.5,4,32,新聞標題,8,8
15,新聞標題,財政部超徵5283億 國民黨提案普發1萬元Treasury Overcollects $528.3B; KMT Proposes $10K Payout,0.0,0.9829826132726643,0.0,0.81875,0.9344956623001396,6.735643050239568,1.0,0.57426534085184,0.0014621326503801995,0.9344956623001396,0.3308104748525502,0.5,4,32,新聞標題,11,8
16,新聞標題,桃園聯結車內輪差釀禍 空服員騎YouBike遭輾不治Cyclist Killed by Truck’s Blind Spot in Taoyuan,0.0,0.9802275343366982,0.0,0.806875,0.9162284229141591,6.626645339171185,1.0,0.5605401042188263,0.0015504395237869739,0.9162284229141591,0.3134462258169455,0.5,4,32,新聞標題,9,8
17,新聞標題,"范斯批AI監管過嚴 美拒簽巴黎宣言Vance Criticizes AI Rules, US Rejects Paris Pact",0.0,0.9782310345862539,0.0,0.7965722656249999,0.9069507288641638,6.542411631329884,1.0,0.5489703619771755,0.001622947110994291,0.9069507288641638,0.3008883393481372,0.5,4,32,新聞標題,8,8
18,新聞標題,"假新聞渲染分屍案 社會動盪加劇 Fake News Fuels Dismemberment Case, Sparks Chaos",0.0,0.9782310345862539,0.0,0.7965722656249999,0.9069507288641638,6.542411631329885,1.0,0.5489703619771755,0.001622947110994291,0.9069507288641638,0.3008883393481372,0.5,4,32,新聞標題,8,8
19,新聞標題,"海軍士兵遭母代辦中國身分證 引國安疑慮Navy Soldier Unknowingly Had China ID, Raising Security Concerns",0.0,0.9851137990420366,0.0,0.8303523102843546,0.944577615179313,6.877527746632991,1.0,0.5881168979969615,0.0013230304420041533,0.944577615179313,0.364890170711619,0.5,5,33,新聞標題,9,8
20,新聞標題,"恢復七天國定假 勞工團體：不該有討價還價空間""Restore 7 Public Holidays: Workers Say No to Bargaining""",0.0,0.9779425239275168,0.0,0.7934765625,0.90851984611866,6.514877982895051,1.0,0.5455515018178627,0.001652581843659264,0.90851984611866,0.2929602250259111,0.5,4,32,新聞標題,13,8
21,新聞標題,"太陽花女王劉喬安美國落網 3月遣返台受審Sunflower Queen Liu Chiao-an Arrested in US, Returning to Taiwan in March",0.0,0.9779425239275168,0.0,0.7934765625,0.90851984611866,6.514877982895051,1.0,0.5455515018178627,0.0016525818436592637,0.90851984611866,0.2929602250259111,0.5,4,32,新聞標題,13,8
22,新聞標題,"DeepSeek權謀改規則，ChatGPT遭騙認輸 DeepSeek Tricks ChatGPT, Wins by Rule Change!",0.0,0.9401414992017351,0.0,0.7528515625,0.8239444059017381,4.850925063825839,1.0,0.502859740616393,0.005408610209750609,0.8239444059017381,0.3583384057555533,0.5,4,24,新聞標題,6,6
23,新聞標題,"錫蘭揭心靈課程爭議 展瑞言論惹議 Cilan Exposes Self-Help Course Risks, Jeff Sui Criticized",0.0,0.9849165077347628,0.0,0.8250422386636382,0.9455122191718635,6.849994098198156,1.0,0.5817204746388347,0.0013565577595513545,0.9455122191718635,0.3545767512870721,0.5,5,33,新聞標題,8,8
24,新聞標題,NCC無線設備進口審查費750元惹議NCC’s NT$750 Wireless Import Fee Sparks Debate,0.0,0.9802275343366982,0.0,0.806875,0.9162284229141591,6.6266453391711835,0.8888888888888888,0.5605401042188263,0.0015504395237869732,0.9162284229141591,0.3134462258169455,0.4444444444444444,4,32,新聞標題,9,8
25,新聞標題,史書華外遇風波延燒 公眾人物道德標準再受關注Shih Shu-Hua’s Affair Scandal Sparks Debate on Public Morality,0.0,0.984111940539169,0.0,0.8371875,0.929751621890587,6.850180051723449,1.0,0.5964996902107756,0.0013320569723492496,0.929751621890587,0.36273446498479545,0.5,4,32,新聞標題,12,8
26,新聞標題,"高雄連環分屍案震驚社會 警方擴大偵辦 Kaohsiung Dismemberment Case Shocks Public, Probe Expands",0.0,0.9804861571761668,0.0,0.8103125,0.9147915273530492,6.65417898760602,1.0,0.5644687152453913,0.0015194616651011271,0.9147915273530492,0.32335203695741677,0.5,4,32,新聞標題,9,8
