record_id,field,original_text,word_count,unique_words,categorical_diversity,compositional_complexity,semantic_density,von_neumann_entropy,category_coherence,compositional_entanglement,grammatical_superposition,semantic_interference,frame_competition,categorical_coherence_variance,multiple_reality_strength,frame_conflict_strength,semantic_ambiguity,circuit_depth,circuit_gates,qubit_count,discocat_enhanced,discopy_available
0,新聞標題,中正高中機器人競賽獲獎 曼巴學院掛國旗,9,9,6,0,10.0,3.169925001429328,0.3333333333333333,0.6666666666666666,1.0,0.0,0.9999999999959038,0.007201646090534979,0.7499999999991807,0.35771604938271606,1.0,9,28,7,True,False
0,新聞內容,"（中央社記者林宏翰洛杉磯2日專電）已故籃球明星布萊恩（Kobe Bryant）創立的曼巴運動學院上週末舉辦機器人競賽，來自台灣的中正高中17名學生團隊，1日在洛杉磯拿下新秀全明星獎、取得赴底特律參加決賽的資格。

這個團隊每個人制服袖子上印著小國旗，工作站掛著一幅從台灣帶來的大國旗，大部分同學第一次踏上美國土地。短短不到一週，他們組裝機器人、上場比賽，克服語言障礙向裁判介紹商業企劃案、與友軍溝通戰...",637,360,33,0,5.651491365777081,7.746295105435076,0.2260596546310832,0.05180533751962323,1.0,0.016020686764734383,0.9122031454810677,0.002446008032258517,0.6494756281029388,0.0991639436969617,1.0,9,28,7,True,False
1,新聞標題,國軍戰車隱匿廢五金堆蓄勢待發 創意源自變形金剛,12,12,4,0,10.0,3.584962500703843,0.5,0.3333333333333333,1.0,0.0,0.9999999999951708,0.03125000000000001,0.7499999999990341,0.19270833333333331,1.0,9,28,7,True,False
1,新聞內容,"（中央社記者游凱翔桃園28日電）陸軍584旅今天在桃園民間資源回收廠實施戰力防護演練，官兵發揮想像與創意，將雲豹甲車偽裝成工程起重車，勇虎戰車隱匿廢五金堆裡，有如電影「變形金剛」博派金剛隱身資材場，待敵人出現立刻出動，給予迎頭痛擊。

共軍頻頻對台文攻武嚇，為強化國軍戰力，屬「戰備月」一環的「戰備週」操演，從26日晚間至30日、一連5天4夜在全台各作戰區展開，採實兵、不實彈方式進行，各地民眾和軍武...",519,282,29,0,5.433526011560693,7.517351811602807,0.25626204238921,0.055876685934489405,1.0,0.015617999350470561,0.9235584967944678,0.0041962260434205674,0.647286719427725,0.09836869440262155,1.0,9,28,7,True,False
2,新聞標題,募集人心爭取認同 國民黨設電商中心賣商品,8,8,4,0,10.0,2.9999999999884586,0.375,0.5,1.0,0.0,0.9999999999961527,0.015625,0.7499999999992306,0.2671875,1.0,9,28,7,True,False
2,新聞內容,"（中央社記者劉冠廷台北17日電）國民黨電商中心今天成立，黨主席江啟臣表示，這不是為了營利，是募集人心的一個過程，爭取更多的認同；此外，他也透露，國民黨的募款餐會已在規劃中，規劃完成後，會再向外界報告。

國民黨青年部今天舉辦電商中心成立記者會，兼任電商中心執行長的青年部主任陳冠安表示，首波商品將配合黨慶和110年元旦，以ROC FOREVER作為主視覺，推出潮T、潮帽和環保袋三項文創產品。總額99...",424,218,27,0,5.1415094339622645,6.997281639433335,0.2099056603773585,0.06367924528301887,1.0,0.028987141353008523,0.9007615353713005,0.0032393459246464803,0.6402292810917576,0.10781142641890339,1.0,9,28,7,True,False
3,新聞標題,校友捐資 屏科大讀書房可坐臥躺趴,11,11,3,0,10.0,3.4594316186214273,0.5454545454545454,0.2727272727272727,1.0,0.0,0.9999999999954126,0.03489439853076216,0.7499999999990825,0.1650137741046832,1.0,9,28,7,True,False
3,新聞內容,"（中央社記者郭芷瑄屏東縣28日電）國立屏東科技大學由校友段津華捐資改建的讀書房今天揭牌，讀書房顛覆以往圖書館只能坐著看書，在設計上不但可以坐、臥、躺、趴，還有小包廂，希望讓學生能輕鬆閱讀。

段津華經營建設公司提供建造方面專業技術及經費支援，負責硬裝設施經費，校方負責軟裝設施經費，共同聯手打造全新的圖書與會展館一樓閱讀室空間「宏普享讀書房」，今天由段津華與校長戴昌賢共同揭牌。

段津華為屏科大前身...",348,218,27,0,6.264367816091953,7.298306824863719,0.22413793103448276,0.07758620689655173,1.0,0.01186962280159474,0.9395125707284628,0.0033955102766482525,0.6661572761679303,0.11136348066920138,1.0,9,28,7,True,False
4,新聞標題,吳朋奉從文青詩人到三金浪流連 一生飄撇始終豁達,13,13,7,0,10.0,3.7004397181223365,0.3076923076923077,0.5384615384615384,1.0,0.0,0.9999999999949316,0.007487018476029464,0.7499999999989864,0.2868614901581935,1.0,9,28,7,True,False
4,新聞內容,"（中央社記者趙靜瑜台北26日電）角色上身，演什麼像什麼的三金影帝吳朋奉從小父母離異，曾以寫詩度日，寫的還是台語詩；他於2012年7月在台北電影節上受邀頒獎還脫稿演出「反核宣言」，藝術家性格十足。

法醫：吳朋奉25日因腦中風過世
吳朋奉雨中戲台永遠缺席 王榮裕哽咽憶30年哥兒們情
吳朋奉過世 劉克襄哀慟：無緣再討教台語教育
吳朋奉是外省第二代，父親1950年從福建省詔安到台灣結婚生子，但8歲時父母...",903,476,39,0,5.271317829457365,7.986621563330243,0.21262458471760798,0.04318936877076412,1.0,0.019579822353017817,0.8978960306838321,0.0025260589509752992,0.6399005183141682,0.09810001037632249,1.0,9,28,7,True,False
