field,original_text,word_count,unique_words,categorical_diversity,quantum_circuit_qubits,von_neumann_entropy,superposition_strength,quantum_coherence,semantic_interference,frame_competition,emotional_intensity,multiple_reality_strength,analysis_version,record_id,data_source
新聞標題,"鄭文燦撤告 國民黨議員誹謗案獲不起訴Cheng Wen-tsan Drops Lawsuit, KMT Members Cleared",19,19,8,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,159,AI_Generated
影片對話,"A：笑死，這就是「怕被法院認證」的最佳示範嘛！當初誣告要告得要死，現在一被抓到自己收賄，馬上縮了！

B：不只是縮了，還是 2800萬交保，這個數字擺在那邊，怎麼看都不對勁啊！這麼會關心警界人事，結果...",326,175,27,4,3.9999999999769167,3.75,0.9375,0.018697783898835616,1.0,0.0,1.7056093351696506,fast_qiskit_v1.0,159,AI_Generated
影片描述,前行政院副院長鄭文燦因被指控涉及im.B詐騙案與警界人事安排，對國民黨多名議員提告誹謗。然而，他去年因華亞科土地案收賄遭起訴後，主動撤回告訴，台北地檢署因此對國民黨議員做出不起訴處分。 事件起源於20...,219,134,26,4,3.9999999999769167,3.75,0.9375,0.01489409423949563,1.0,0.0,1.7044682282718486,fast_qiskit_v1.0,159,AI_Generated
新聞標題,"川普嗆鮑爾「大魯蛇」 美股崩跌971點Trump Slams Powell as “Loser”, Dow Plunges 971pts",22,21,5,4,3.9999999999769167,3.75,0.9375,0.002061430632859205,1.0,0.0,1.7006184291898576,fast_qiskit_v1.0,264,AI_Generated
影片對話,"名嘴A（資深財經評論員）：
這根本是「金融版的宮鬥劇」！川普公開嗆鮑爾是「大魯蛇」，還說他是「慢半拍先生」，你有聽過哪一國元首用這種詞羞辱自己任命的央行總裁？更扯的是，他這不是發牢騷，是在逼聯準會就範...",371,213,31,4,3.9999999999769167,3.75,0.9375,0.012158461739819135,1.0,0.0,1.7036475385219456,fast_qiskit_v1.0,264,AI_Generated
影片描述,美國總統川普近日在Truth Social上批評聯準會主席鮑爾行動遲緩，直呼他是「大魯蛇」、「太慢先生」，並要求聯準會立即降息。川普強調通膨已消退，應該盡快行動以防經濟放緩。市場對聯準會獨立性產生疑慮...,789,458,25,4,3.9999999999769167,3.75,0.9375,0.005163198794546076,1.0,0.0,1.7015489596383637,fast_qiskit_v1.0,264,AI_Generated
新聞標題,劉沛失言遭批性別歧視 緊急發文道歉Liu Pei Criticized for Ageist Remark,14,14,5,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,254,AI_Generated
影片對話," 名嘴A（資深媒體人）：
來，我們今天要聊的，是百萬YouTuber劉沛那句惹火的話——「是不是比較老的女人很愛插隊？」聽起來像情緒發言，但實際上卻踩中了兩個字：歧視。

👨‍🦱 名嘴B（評論作家）：...",531,247,31,4,3.9999999999769167,3.75,0.9375,0.017928570262193723,1.0,0.0,1.705378571078658,fast_qiskit_v1.0,254,AI_Generated
影片描述,百萬YouTuber劉沛近日因一則Threads貼文引發爭議，他在文中抱怨遭遇插隊事件，卻以「是不是比較老的女人很愛插隊？」做出發言，迅速被網友批評帶有性別與年齡歧視。劉沛事後刪文並公開致歉，承認言語...,1570,666,30,4,3.9999999999769167,3.75,0.9375,0.007724554760762944,1.0,0.0,1.7023173664282287,fast_qiskit_v1.0,254,AI_Generated
新聞標題,聯發科推出 Breeze 2：繁體中文 AI 重大突破！MediaTek Unveils Breeze 2: A Breakthrough in Traditional Chinese AI!,22,19,7,4,3.9999999999769167,3.75,0.9375,0.006043817678166708,1.0,0.0,1.70181314530345,fast_qiskit_v1.0,9,AI_Generated
