文本類型,量子指標,AI新聞均值,AI新聞標準差,記者新聞均值,記者新聞標準差,差異倍數(AI/記者),絕對差異
新聞標題 vs 新聞標題,語法疊加強度,1.000000,0.000000,1.000000,0.000000,1.00,0.000000
新聞標題 vs 新聞標題,框架競爭強度,0.917508,0.019116,0.998497,0.003813,0.92,0.080988
新聞標題 vs 新聞標題,多重現實強度,0.805879,0.022065,0.747725,0.005674,1.08,0.058154
新聞標題 vs 新聞標題,框架衝突強度,0.177073,0.014460,0.287786,0.065286,0.62,0.110713
新聞標題 vs 新聞標題,語義干涉,0.308865,0.075128,0.000816,0.002162,378.29,0.308048
新聞標題 vs 新聞標題,馮紐曼熵,0.910895,0.023768,3.437841,0.438545,0.26,2.526945
新聞標題 vs 新聞標題,類別一致性,0.140719,0.062060,0.360721,0.102401,0.39,0.220002
新聞標題 vs 新聞標題,組合糾纏強度,0.103291,0.029875,0.545765,0.150186,0.19,0.442475
影片對話 vs 新聞內容,語法疊加強度,1.000000,0.000000,1.000000,0.000000,1.00,0.000000
影片對話 vs 新聞內容,框架競爭強度,0.914456,0.000980,0.917286,0.021455,1.00,0.002830
影片對話 vs 新聞內容,多重現實強度,0.688180,0.029118,0.645697,0.017482,1.07,0.042483
影片對話 vs 新聞內容,框架衝突強度,0.113273,0.005282,0.106768,0.011200,1.06,0.006506
影片對話 vs 新聞內容,語義干涉,0.181066,0.119761,0.017704,0.006019,10.23,0.163362
影片對話 vs 新聞內容,馮紐曼熵,0.791034,0.014616,7.350837,0.514152,0.11,6.559803
影片對話 vs 新聞內容,類別一致性,0.209430,0.025640,0.214469,0.025122,0.98,0.005039
影片對話 vs 新聞內容,組合糾纏強度,0.068706,0.011115,0.065538,0.026862,1.05,0.003168
