field,original_text,word_count,unique_words,categorical_diversity,quantum_circuit_qubits,von_neumann_entropy,superposition_strength,quantum_coherence,semantic_interference,frame_competition,emotional_intensity,multiple_reality_strength,analysis_version,record_id,data_source
新聞標題,中正高中機器人競賽獲獎 曼巴學院掛國旗,9,9,6,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,0,Journalist_Written
新聞內容,（中央社記者林宏翰洛杉磯2日專電）已故籃球明星布萊恩（Kobe Bryant）創立的曼巴運動學院上週末舉辦機器人競賽，來自台灣的中正高中17名學生團隊，1日在洛杉磯拿下新秀全明星獎、取得赴底特律參加決...,637,360,33,4,3.9999999999769167,3.75,0.9375,0.016020686764734383,1.0,0.0,1.7048062060294202,fast_qiskit_v1.0,0,Journalist_Written
新聞標題,國軍戰車隱匿廢五金堆蓄勢待發 創意源自變形金剛,12,12,4,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,1,Journalist_Written
新聞內容,（中央社記者游凱翔桃園28日電）陸軍584旅今天在桃園民間資源回收廠實施戰力防護演練，官兵發揮想像與創意，將雲豹甲車偽裝成工程起重車，勇虎戰車隱匿廢五金堆裡，有如電影「變形金剛」博派金剛隱身資材場，待...,519,282,29,4,3.9999999999769167,3.75,0.9375,0.015617999350470561,1.0,0.0019267822736030828,1.7048780780325015,fast_qiskit_v1.0,1,Journalist_Written
新聞標題,募集人心爭取認同 國民黨設電商中心賣商品,8,8,4,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,2,Journalist_Written
新聞內容,（中央社記者劉冠廷台北17日電）國民黨電商中心今天成立，黨主席江啟臣表示，這不是為了營利，是募集人心的一個過程，爭取更多的認同；此外，他也透露，國民黨的募款餐會已在規劃中，規劃完成後，會再向外界報告。...,424,218,27,4,3.9999999999769167,3.75,0.9375,0.028987141353008523,1.0,0.0023584905660377358,1.7089319914625063,fast_qiskit_v1.0,2,Journalist_Written
新聞標題,校友捐資 屏科大讀書房可坐臥躺趴,11,11,3,3,2.999999999988458,3.5,0.875,0.0,1.0,0.0,1.6,fast_qiskit_v1.0,3,Journalist_Written
新聞內容,"（中央社記者郭芷瑄屏東縣28日電）國立屏東科技大學由校友段津華捐資改建的讀書房今天揭牌，讀書房顛覆以往圖書館只能坐著看書，在設計上不但可以坐、臥、躺、趴，還有小包廂，希望讓學生能輕鬆閱讀。

段津華經...",348,218,27,4,3.9999999999769167,3.75,0.9375,0.01186962280159474,1.0,0.005747126436781609,1.7041355994841565,fast_qiskit_v1.0,3,Journalist_Written
新聞標題,吳朋奉從文青詩人到三金浪流連 一生飄撇始終豁達,13,13,7,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,4,Journalist_Written
新聞內容,"（中央社記者趙靜瑜台北26日電）角色上身，演什麼像什麼的三金影帝吳朋奉從小父母離異，曾以寫詩度日，寫的還是台語詩；他於2012年7月在台北電影節上受邀頒獎還脫稿演出「反核宣言」，藝術家性格十足。

法...",903,476,39,4,3.9999999999769167,3.75,0.9375,0.019579822353017817,1.0,0.0011074197120708748,1.7059846886771124,fast_qiskit_v1.0,4,Journalist_Written
新聞標題,史上最近距離 太陽特寫照大公開,8,8,6,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,5,Journalist_Written
新聞內容,"（中央社巴黎16日綜合外電報導）科學家今天表示，他們拍下有史以來最接近太陽的照片，這是研究對地球可能有深遠影響的太陽風和閃焰的泛歐任務一部分。

歐洲太空總署（ESA）的太陽觀測衛星「太陽軌道號」（S...",314,180,30,4,3.9999999999769167,3.75,0.9375,0.01391090666037588,1.0,0.0,1.7041732719981126,fast_qiskit_v1.0,5,Journalist_Written
新聞標題,外交部：台灣是台灣 非中華人民共和國一部分,11,10,9,4,3.9999999999769167,3.75,0.9375,0.00818181818181818,1.0,0.0,1.7024545454545454,fast_qiskit_v1.0,6,Journalist_Written
新聞內容,"（中央社記者顧荃台北19日電）中國與緬甸18日簽署聯合聲明，外交部發言人歐江安表示，外交部表達嚴正抗議，並對此貶損中華民國台灣國家主權的不實表述予以譴責。

外交部嚴正重申，台灣是台灣，不是中國的一部...",384,190,24,4,3.9999999999769167,3.75,0.9375,0.023600819482917826,1.0,0.0,1.7070802458448753,fast_qiskit_v1.0,6,Journalist_Written
新聞標題,農遊券藝FUN券動滋券客庄券 怎麼抽籤哪裡可用一次看,14,14,6,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,7,Journalist_Written
新聞內容,"（中央社網站更新）振興三倍券15日上路，農委會的農遊券、文化部的藝FUN券、教育部體育署的動滋券與客委會的浪漫客庄旅遊券也接連登場，民眾從事各領域的休閒活動，都有好康優惠可拿。

農遊券
發放數量：限...",1127,438,33,4,3.9999999999769167,3.75,0.9375,0.015868617334695946,1.0,0.0008873114463176575,1.7048493163450404,fast_qiskit_v1.0,7,Journalist_Written
新聞標題,記錄反送中、採訪流亡來台港人 中央社沈朋達獲卓越新聞獎,14,14,8,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.07142857142857142,1.707142857142857,fast_qiskit_v1.0,8,Journalist_Written
新聞內容,"（中央社記者葉冠吟台北24日電）卓越新聞獎今天舉行頒獎典禮，本屆卓越新聞獎新聞志業特殊貢獻獎，頒給「上報」董事長王健壯；中央社記者沈朋達則以「香港反送中抗爭」專題，獲平面及網路文字類即時新聞獎。

專...",913,434,35,4,3.9999999999769167,3.75,0.9375,0.01743463363647087,1.0,0.004381161007667032,1.7056685061917078,fast_qiskit_v1.0,8,Journalist_Written
新聞標題,17年前壓箱寶 台灣做出第一件P3級防護衣,11,11,7,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,9,Journalist_Written
新聞內容,"（中央社記者潘羿菁台北29日電）位於印尼成衣廠內，一排產線人員正在車縫一批批布料，車縫完還要按照縫線細心折好，嚴禁「丟包」，只能用雙手奉上交付給後排同仁趕製下段工序。

這是聚陽在印尼工廠生產醫療防護...",1342,659,36,4,3.9999999999769167,3.75,0.9375,0.022984658085577297,1.0,0.0014903129657228018,1.7070444287222453,fast_qiskit_v1.0,9,Journalist_Written
新聞標題,林琪兒141天太空夢幻旅行 震懾台灣之美從宇宙拍下珍貴照片,15,15,10,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,10,Journalist_Written
新聞內容,"（中央社記者林宏翰、周世惠洛杉磯／舊金山30日專電）台裔太空人林琪兒（Kjell N. Lindgren）入選登月計畫，首次接受台灣媒體專訪，分享5年前從太空看台灣的感動。

美國國家航空暨太空總署（...",678,352,33,4,3.9999999999769167,3.75,0.9375,0.021026412683756306,1.0,0.0,1.7063079238051269,fast_qiskit_v1.0,10,Journalist_Written
新聞標題,為AI隱私權把關 Google盼深化台灣學界交流,11,11,6,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,11,Journalist_Written
新聞內容,（中央社記者吳家豪台北1日電）Google於7月舉行AI創新研究營，與台灣學界進行深度交流。Google台灣董事總經理馬大康稱讚，台灣學界有「世界級」研究水準，希望未來在隱私權領域擴大交流，透過Goo...,834,358,31,4,3.9999999999769167,3.75,0.9375,0.02659025677307783,1.0,0.0035971223021582736,1.7083367892621393,fast_qiskit_v1.0,11,Journalist_Written
新聞標題,播法廣節目內容惹議 教育電台喊卡教育部要求檢討,11,11,3,3,2.999999999988458,3.5,0.875,0.0,1.0,0.0,1.6,fast_qiskit_v1.0,12,Journalist_Written
新聞內容,"（中央社記者許秩維、葉冠吟、鄭景雯台北20日電）教育部所屬教育廣播電台轉播法國廣播電台節目，內容遭質疑「揚中貶台」。教育電台今天表示，已暫停轉播法廣節目；教育部也請教育電台檢討節目轉播機制。

自由時...",364,182,26,4,3.9999999999769167,3.75,0.9375,0.02514792899408284,1.0,0.0,1.7075443786982247,fast_qiskit_v1.0,12,Journalist_Written
新聞標題,「蛇蛇」胡碩傑傳加盟電競戰隊TSM 2年1.7億元創北美紀錄,18,17,8,4,3.9999999999769167,3.75,0.9375,0.0030757400999615538,1.0,0.0,1.7009227220299885,fast_qiskit_v1.0,13,Journalist_Written
新聞內容,（中央社華盛頓26日綜合外電報導）華盛頓郵報報導，北美電競聯盟知名戰隊TSM以2年600萬美元（約新台幣1.73億元）簽下台灣「英雄聯盟」電競好手胡碩傑（綽號蛇蛇，遊戲ID：SwordArt），據信已...,206,140,23,4,3.9999999999769167,3.75,0.9375,0.006757479690905489,1.0,0.0,1.7020272439072717,fast_qiskit_v1.0,13,Journalist_Written
新聞標題,台灣學者史書美 獲聘UCLA薩伊德講座教授,11,11,7,4,3.9999999999769167,3.75,0.9375,0.0,1.0,0.0,1.7,fast_qiskit_v1.0,14,Journalist_Written
