record_id,field,original_text,word_count,unique_words,categorical_diversity,compositional_complexity,semantic_density,von_neumann_entropy,category_coherence,compositional_entanglement,grammatical_superposition,semantic_interference,frame_competition,categorical_coherence_variance,multiple_reality_strength,frame_conflict_strength,semantic_ambiguity,analysis_version
0,新聞標題,麥當勞性侵案後改革 董事長發聲承諾改善McDonald's Pledges Reform After Assault Scandal,19,19,8,0,10.0,4.247927513416173,0.3157894736842105,0.42105263157894735,1.0,0.0,0.9999999999935472,0.006881925207756232,0.7499999999987095,0.24943299861495843,1.0,fair_comparison_restricted_v1.0
0,影片對話,"主持人A：「這次麥當勞的公開信算是一種企業危機處理，強調改革，但這樣的措施真的能解決問題嗎？」

📌 名嘴B：「我覺得這封信是必要的，畢竟這起事件社會輿論極大，消費者抵制聲浪也很強。但企業真正要做的，不只是監視器或申訴機制，而是如何改變內部文化，讓員工真的敢舉報、主管真的不敢濫權。」

📌 主持人A：「確實，現在問題是企業是否能真正落實這些改革，否則只是公關危機處理，風頭過了就沒人管了。」

📌 ...",282,152,26,0,5.390070921985815,6.725842357700156,0.25886524822695034,0.09219858156028368,1.0,0.017236277283353963,0.9279676632009555,0.004549852688585843,0.6477040204007459,0.1123578636079942,1.0,fair_comparison_restricted_v1.0
0,影片描述,台灣麥當勞於今（19日）發表最新聲明，針對去年底發生的職場性侵案，首次公布「3大安心作為」，並承諾加強員工保護機制，提升企業責任。董事長李昌霖發表公開信，強調「沒有任何藉口，企業必須檢討！」，承諾確保所有員工能夠在安全與尊重的環境中工作。 🔹 3大改革措施 📌 1. 設立「職場安心委員會」 由外部法律專家監督，確保職場性騷擾與申訴案件得到公平處理。 📌 2. 全面升級監視設備 增設監視器，提高監控...,214,136,23,0,6.355140186915888,6.659792731761607,0.22429906542056074,0.10747663551401869,1.0,0.01440574168094946,0.9396582219804226,0.0044553630706473234,0.6686358835546397,0.12563567434175493,1.0,fair_comparison_restricted_v1.0
1,新聞標題,"回收3.87元遭貪污起訴？清潔隊員案掀社會熱議""Garbage Collectors Indicted for $3.87 Bribery? Public Outrage Ensues""",25,23,6,0,9.200000000000001,4.483856189741543,0.32,0.24,1.0,0.003175803402646504,0.9912224555115677,0.007688888888888888,0.7330384419529753,0.16630666666666666,1.0,fair_comparison_restricted_v1.0
1,影片對話,"主持人A：今天我們要討論的是近期引發廣泛關注的清潔隊夫妻貪污案，吳姓男子因為轉送二手家具，竟然面臨五年以上的刑責，這樣的判決合理嗎？

名嘴B：這根本就是大砲打小鳥！法條的原意是要防止貪污，但這次的案例顯然偏離了合理範圍。才3.87元就要關五年，這不是拿納稅人的錢來開玩笑嗎？

名嘴C：的確，依照《貪污治罪條例》，只要是公務員觸犯貪污罪，無論金額大小，都必須適用嚴格刑度。但問題來了，為何某些政界人...",296,180,22,0,6.081081081081081,6.927289383490636,0.22972972972972974,0.07432432432432433,1.0,0.018078912245578904,0.9246429814386479,0.0044436957059807184,0.6610699459707459,0.10808986546855098,1.0,fair_comparison_restricted_v1.0
1,影片描述,台北市萬華區一對清潔隊工作的吳姓夫妻，因涉嫌私自將回收物品轉贈朋友，觸犯《貪污治罪條例》，台北地檢署已正式起訴。然而，案件涉及的不法金額僅新台幣 3.87 元，引發社會廣泛討論。 檢察官表示，根據法律規定，即便貪污金額微小，仍須面臨至少 5 年徒刑，但建請法官考量情節輕微，酌情減刑。許多民眾對此案件感到不滿，質疑司法是否存在比例原則失衡的問題。網友熱議：「基層小貪被嚴懲，高層大貪卻能逍遙法外？」 ...,205,151,21,0,7.365853658536585,6.848651928776373,0.24390243902439024,0.1024390243902439,1.0,0.012621183709315276,0.9461548746464474,0.004842706465889945,0.68970334402735,0.11803817779342554,1.0,fair_comparison_restricted_v1.0
2,新聞標題,Google示警！AI詐騙電話橫行，Gmail用戶警惕Google Alert! AI Scam Calls Targeting Gmail Users,20,17,5,0,8.5,4.021928094862837,0.55,0.25,1.0,0.00726643598615917,0.983966888768717,0.03100000000000001,0.7186099867502832,0.1543,1.0,fair_comparison_restricted_v1.0
2,影片對話,"
主持人：最近 Google 針對 Gmail 用戶發布「紅色警報」，指出 AI 詐騙電話與郵件正在橫行，這手法有多危險？

資安專家 A：這次的詐騙可怕之處在於「偽造度極高」。駭客利用 AI 模仿 Google 客服，甚至能偽造親友聲音，讓人放下戒心。這比傳統釣魚郵件更具威脅性。

科技記者 B：沒錯，過去詐騙手法大多透過簡訊或電子郵件，如今 AI 讓詐騙電話變得更擬真，就算是資深網路使用者，也...",268,171,23,0,6.380597014925373,6.991342153848235,0.23880597014925373,0.08582089552238806,1.0,0.01069164284252279,0.9425021783350699,0.004278100932293644,0.6687852866761521,0.11173119147371796,1.0,fair_comparison_restricted_v1.0
2,影片描述,Google 近日向全球 18 億 Gmail 用戶發布**「紅色警報」**，警告 AI 驅動的詐騙手法正在猖獗，台灣民眾務必提高警覺！這類詐騙手法會透過 AI 偽造電話和電子郵件，讓用戶誤以為 Gmail 帳號出現異常，誘騙輸入個資，導致帳號被盜、財務受損。 ⚠️ AI 詐騙手法大揭密 📌 來電詐騙：駭客假冒 Google 客服來電，聲稱帳號被異常登入，要求受害者提供帳號資訊。 📌 釣魚郵件：發...,245,140,24,0,5.7142857142857135,6.706208539353373,0.24081632653061225,0.09795918367346938,1.0,0.011844023323615161,0.9406567986449654,0.005135331343421722,0.6553780798456112,0.11664264021935306,1.0,fair_comparison_restricted_v1.0
3,新聞標題,台男走私22公斤古柯鹼入日 創個人紀錄Taiwanese Man Smuggles 22kg Cocaine to Japan,20,19,7,0,9.5,4.221928094859951,0.35,0.35,1.0,0.0024930747922437668,0.9938795051230622,0.01030612244897959,0.7393991697226734,0.20809183673469386,1.0,fair_comparison_restricted_v1.0
3,影片對話,"A名嘴（政治評論）：
這案子真的讓台灣人在國際上又丟了一次臉。22公斤古柯鹼，這不是普通小咖能搞的數量，背後一定有跨國走私集團在運作。問題來了，**夏正泰怎麼能夠從加拿大輕輕鬆鬆帶22公斤毒品上飛機？**這代表加拿大的海關完全沒在管控嗎？如果這樣的貨能出境，那過去還有多少沒被發現的毒品進入其他國家？

B名嘴（社會議題）：
對啊，22公斤不是幾包糖果，這可是直接裝滿一個行李箱！這種方式也太明目張膽...",296,179,25,0,6.047297297297297,7.030111517523913,0.20945945945945946,0.08445945945945946,1.0,0.011296337378544555,0.9393752768315473,0.0028649379108838563,0.6616450856568916,0.11369731921110302,1.0,fair_comparison_restricted_v1.0
